,PET,VPD,air_temp,doy,precip,soil_temp,sw_in,wind_speed,year,wp_RNET,wp_ch4_gf,wp_co2_gf,wp_er,wp_gpp,wp_h,wp_le,mb_RNET,mb_ch4_gf,mb_co2_gf,mb_er,mb_gpp,mb_h,mb_le,wp_evi,wp_lswi2,wp_ndvi,mb_evi,mb_lswi2,mb_ndvi,wp_LST.day,wp_LST.night,mb_LST.day,mb_LST.night
431,5.57,0.89008945841,20.0166666667,260,0.0,20.85,20.934,5.0375,2013,12.9489430824,1555.05714383,-45.2016239228,32.6213478924,-77.8229718153,-0.219180254276,9.78947760882,10.4794225352,2183.03419038,-24.8749223579,38.5180112318,-63.3929335897,1.05647721005,10.6772186164,0.34115,0.26580556387,0.5994875,0.3190625,0.674009424529,0.7039125,28.57,16.05,25.79,18.01
432,6.14,1.35658586168,21.7708333333,261,0.0,20.625,20.7936,3.99583333333,2013,12.6768579076,940.854806927,-38.659829745,26.0908662179,-64.750695963,-1.92793309878,11.3613493958,9.95970422535,3538.40762721,-15.6709757336,36.5223602433,-52.1933359769,-3.07693074135,14.4420612084,0.338925,0.258270617822,0.59468125,0.31799375,0.671991802196,0.70136875,29.291773307,15.486683722,26.0579251092,17.1287856769
433,4.78,1.28626354533,21.2416666667,262,0.0,20.3875,21.0744,1.825,2013,12.7308782818,641.494201447,-40.9830288174,23.016583019,-63.9996118364,-0.575236562239,9.99370426316,9.8138028169,3223.36647587,-10.4390640688,36.3649004475,-46.8039645163,0.164812343623,12.0006505592,0.3367,0.250735671774,0.589875,0.316925,0.669974179862,0.698825,28.9987448893,15.3962781598,25.9212801448,17.0538724795
434,5.08,0.737968308762,19.25,263,0.0,20.1666666667,20.1744,4.4125,2013,12.5992811558,1227.06645998,-45.2974312426,31.5006008103,-76.7980320529,0.3552307338,8.70015999689,9.93612676056,2225.2796759,-12.4820460174,39.4539333676,-51.9359793851,1.03552183396,8.57440963083,0.334475,0.243200725725,0.58506875,0.31585625,0.667956557529,0.69628125,28.6644173149,15.2966773016,25.7744070108,16.9766150567
435,0.87,0.327965782242,16.6375,264,13.5,20.0666666667,6.2424,2.525,2013,1.82236561282,1200.32601148,-11.222962451,27.807309527,-39.030271978,-1.45835689043,2.80948204576,-0.268225352113,1113.36096901,14.8686787323,34.0172211913,-19.148542459,-1.81688680595,3.31173208373,0.33225,0.235665779677,0.5802625,0.3147875,0.665938935196,0.6937375,28.2887905838,15.1878811473,25.6173057072,16.8970134083
436,3.27,0.483706321426,16.5208333333,265,0.0,19.6416666667,17.7804,2.70833333333,2013,10.82894053,1680.50904853,-29.8521044434,27.2205981681,-57.0727026115,0.827107899306,6.85518757465,9.39701408451,2917.62785237,0.541243290462,34.073977472,-33.5327341815,3.24824736817,9.94856254416,0.330025,0.228130833629,0.57545625,0.31371875,0.663921312863,0.69119375,27.871864696,15.0698896969,25.449976234,16.8150675345
437,4.12,0.803603461078,19.7666666667,266,0.0,19.8791666667,20.898,2.15,2013,12.6314425435,1381.4920041,-36.8742275245,24.4737989307,-61.3480264552,0.577734179585,8.47635768509,10.3865070423,3039.24335126,7.72087697892,36.2797039183,-28.5588269394,1.97250203835,9.56280917354,0.3278,0.220595887581,0.57065,0.31265,0.66190369053,0.68865,27.4136396514,14.9427029504,25.2724185912,16.7307774351
438,5.08,0.799310488421,19.1833333333,267,0.0,20.0958333333,20.232,5.075,2013,11.6338444813,1889.83708145,-35.3795545293,34.1220478853,-69.5016024146,-1.06351935279,9.41228735519,9.31056338028,1962.94168768,-1.45625548847,40.8080328351,-42.2642883235,0.153086472628,9.87650388646,0.325575,0.213060941532,0.56584375,0.31158125,0.659886068197,0.68610625,26.9141154501,14.8063209078,25.0846327788,16.6441431103
439,4.39,0.764789015028,16.6791666667,268,0.0,19.7583333333,20.4804,3.83333333333,2013,11.4738298338,2517.74860251,-30.2148968182,32.5980730635,-62.8129698816,-0.480918766135,9.64172051203,9.33084507042,2005.66426443,-13.4771927296,38.369037138,-51.8462298675,1.78250441104,10.3429885868,0.32335,0.205525995484,0.5610375,0.3105125,0.657868445863,0.6835625,25.99,13.81,23.87,16.55516456
440,6.21,1.17200308765,17.9791666667,269,0.0,19.2958333333,20.97,5.49583333333,2013,11.2278611635,2178.47879635,-27.4161797044,35.4752663618,-62.8914460662,-2.30553944132,10.9041185769,8.17123943662,2921.52726546,-29.2578762821,37.6889023134,-66.9467785955,-4.37404240375,15.7595606027,0.321125,0.197991049436,0.55623125,0.30944375,0.65585082353,0.68101875,25.8654839251,14.5059709344,24.6783766452,16.4638417842
